Name;DataType;Length;Coding;Address
BATCH_NomeProdotto;String;100;Binary;%DB2007.DBX102.0
BATCH_IdArticolo;String;100;Binary;%DB2007.DBX204.0
BATCH_NomeOperatore;String;100;Binary;%DB2007.DBX306.0
BATCH_TotKgLotto;Real;4;IEEE754;%DB2007.DBD408
BATCH_Prod_Stop;Bool;1;Binary;%DB2007.DBX412.0
BATCH_Cmd_Reset_Prod;Bool;1;Binary;%DB2007.DBX412.1
BATCH_Cmd_Reset_Prod_Stop;Bool;1;Binary;%DB2007.DBX412.2
BATCH_Cmd_Reset_Kgh;Bool;1;Binary;%DB2007.DBX412.3
BATCH_KW_Qe_Generale;Real;4;IEEE754;%DB2007.DBD414
BATCH_KW_Qe_Extrusori;Real;4;IEEE754;%DB2007.DBD418
BATCH_Kwh_Qe_Extrusori;Real;4;IEEE754;%DB2007.DBD422
BATCH_Kwh_Qe_Generale;Real;4;IEEE754;%DB2007.DBD426
BATCH_Kwh_Tot_Produzione;Real;4;IEEE754;%DB2007.DBD430
BATCH_Kwh_Tot_Mac_Ferma;Real;4;IEEE754;%DB2007.DBD434
BATCH_Kgh_Tot_Produzione;Real;4;IEEE754;%DB2007.DBD438
BATCH_Efficenza_energetica;Real;4;IEEE754;%DB2007.DBD442
CMD_CMD_VARI.PRESENZA_ALL_PER_SW;Bool;1;Binary;%DB2000.DBX0.0
CMD_CMD_VARI.PS_RESET_ALLARMI;Bool;1;Binary;%DB2000.DBX0.1
CMD_CALIBRATORE.CMD.DISCESA;Bool;1;Binary;%DB2000.DBX2.1
CMD_CALIBRATORE.CMD.STOP;Bool;1;Binary;%DB2000.DBX2.2
CMD_CALIBRATORE.CMD.AVANTI;Bool;1;Binary;%DB2000.DBX2.3
CMD_CALIBRATORE.CMD.INDIETRO;Bool;1;Binary;%DB2000.DBX2.4
CMD_CALIBRATORE.CMD.IMPOSTA_ZERO_ENCODER;Bool;1;Binary;%DB2000.DBX2.5
CMD_CALIBRATORE.CMD.START_MDI;Bool;1;Binary;%DB2000.DBX2.6
CMD_CALIBRATORE.CMD.ESCLUDI_M2_M4_JOG;Bool;1;Binary;%DB2000.DBX2.7
CMD_CALIBRATORE.CMD.ESCLUDI_M1_M3_JOG;Bool;1;Binary;%DB2000.DBX3.0
CMD_CALIBRATORE.RISPOSTE.CALIBRATORE_IN_RANGE_M1_M3;Bool;1;Binary;%DB2000.DBX4.0
CMD_CALIBRATORE.RISPOSTE.CALIBRATORE_IN_RANGE_M2_M4;Bool;1;Binary;%DB2000.DBX4.1
CMD_CALIBRATORE.QUOTE.SET_QUOTA;LReal;8;IEEE754;%DB2000.DBX6.0
CMD_CALIBRATORE.QUOTE.SET_VEL_POSIZIONE;LReal;8;IEEE754;%DB2000.DBX14.0
CMD_CALIBRATORE.QUOTE.SET_VEL_RAPIDO;LReal;8;IEEE754;%DB2000.DBX22.0
CMD_CALIBRATORE.QUOTE.FINESTRA_DI_RANGE;LReal;8;IEEE754;%DB2000.DBX30.0
CMD_CALIBRATORE.QUOTE.FINESTRA_STOP_DISCESA;LReal;8;IEEE754;%DB2000.DBX38.0
CMD_CALIBRATORE.QUOTE.QUOTA_ZERO_ENCODER;LReal;8;IEEE754;%DB2000.DBX46.0
CMD_CALIBRATORE.MARTINETTO[1].CMD.SU;Bool;1;Binary;%DB2000.DBX54.0
CMD_CALIBRATORE.MARTINETTO[1].CMD.GIU;Bool;1;Binary;%DB2000.DBX54.1
CMD_CALIBRATORE.MARTINETTO[1].CMD.MDI;Bool;1;Binary;%DB2000.DBX54.2
CMD_CALIBRATORE.MARTINETTO[1].CMD.SET_COPPIA_SUP;LReal;8;IEEE754;%DB2000.DBX56.0
CMD_CALIBRATORE.MARTINETTO[1].CMD.SET_COPPIA_INF;LReal;8;IEEE754;%DB2000.DBX64.0
CMD_CALIBRATORE.MARTINETTO[1].CMD.SET_SFASAMENTO;LReal;8;IEEE754;%DB2000.DBX72.0
CMD_CALIBRATORE.MARTINETTO[1].RISPOSTE.REALE_QUOTA;LReal;8;IEEE754;%DB2000.DBX80.0
CMD_CALIBRATORE.MARTINETTO[1].RISPOSTE.ASSE_ABILITATO;Bool;1;Binary;%DB2000.DBX88.0
CMD_CALIBRATORE.MARTINETTO[1].RISPOSTE.HOMING_OK;Bool;1;Binary;%DB2000.DBX88.1
CMD_CALIBRATORE.MARTINETTO[1].RISPOSTE.ASSE_IN_ERRORE;Bool;1;Binary;%DB2000.DBX88.2
CMD_CALIBRATORE.MARTINETTO[1].RISPOSTE.IN_POSIZIONE;Bool;1;Binary;%DB2000.DBX88.3
CMD_CALIBRATORE.MARTINETTO[2].CMD.SU;Bool;1;Binary;%DB2000.DBX90.0
CMD_CALIBRATORE.MARTINETTO[2].CMD.GIU;Bool;1;Binary;%DB2000.DBX90.1
CMD_CALIBRATORE.MARTINETTO[2].CMD.MDI;Bool;1;Binary;%DB2000.DBX90.2
CMD_CALIBRATORE.MARTINETTO[2].CMD.SET_COPPIA_SUP;LReal;8;IEEE754;%DB2000.DBX92.0
CMD_CALIBRATORE.MARTINETTO[2].CMD.SET_COPPIA_INF;LReal;8;IEEE754;%DB2000.DBX100.0
